Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2025-10-21 18:36:53,false,"Treadmill Running","5.28","381","0:30","139","149","2.3","153","160","5:41","4:47","--","--","1.15","8.4","9.6","296","--","391","0.0","388","498","4,556","-4","No","00:01:40.4","6","00:29:58","00:30:00","--","--"
Running,2025-10-19 15:22:13,false,"Arlington County Running","13.19","1,264","1:23","160","179","4.1","149","165","6:16","4:22","137","148","1.07","8.6","9.1","300","6:11","387","0.0","371","590","12,270","-17","No","00:01:12.3","14","01:21:07","01:22:44","7","76"
Treadmill Running,2025-10-16 21:11:11,false,"Treadmill Running","10.29","724","1:00","141","153","2.6","153","161","5:44","4:29","--","--","1.14","8.4","9.5","298","--","388","0.0","386","534","8,950","-5","No","00:01:32.7","11","00:58:59","00:59:02","--","--"
Treadmill Running,2025-10-15 17:02:15,false,"Treadmill Running","5.35","410","0:31","144","159","2.6","152","203","5:37","4:27","--","--","1.17","8.2","9.6","294","--","401","0.0","393","540","4,546","-4","No","00:01:58.1","6","00:29:44","00:30:33","--","--"
Treadmill Running,2025-10-14 18:31:10,false,"Treadmill Running","7.21","533","0:44","139","152","2.4","151","161","6:02","5:05","--","--","1.10","8.4","9.2","295","--","375","0.0","363","455","6,536","-7","No","00:01:28.6","8","00:43:07","00:43:30","--","--"
Running,2025-10-11 12:19:37,false,"Arlington County Running","19.22","1,862","2:09","159","186","4.2","147","165","6:42","4:14","144","132","1.00","8.8","8.8","303","6:38","357","0.0","342","574","19,006","-25","No","00:01:36.8","20","02:05:37","02:08:44","11","87"
Treadmill Running,2025-10-09 19:44:05,false,"Treadmill Running","13.38","857","1:22","137","150","2.5","150","165","6:04","4:57","--","--","1.10","8.4","9.2","298","--","369","0.0","357","464","12,062","-7","No","00:02:36.5","14","01:20:40","01:21:03","--","--"
Running,2025-10-07 07:49:28,false,"Arlington County Running","8.07","726","0:54","141","158","3.0","154","167","6:35","3:44","104","91","0.98","9.0","8.8","301","6:27","365","0.0","355","624","8,196","-13","No","00:00:40.1","9","00:52:53","00:53:11","8","78"
Running,2025-10-05 10:28:02,false,"Arlington County Running","30.22","2,829","3:44","158","185","4.7","139","167","7:24","3:46","152","213","0.96","8.7","8.3","306","7:24","327","0.0","294","664","31,094","--","No","00:02:41.4","31","03:37:07","03:44:42","3","94"
Running,2025-10-03 18:13:12,false,"Arlington County Running","8.28","727","0:53","141","166","3.0","150","165","6:18","3:30","99","90","1.05","8.6","9.0","298","6:10","384","0.0","369","661","7,838","-1","No","00:01:36.4","9","00:51:33","00:52:09","8","74"
